Genesis	4	15
Genesis	4	15
Genesis	22	9
Genesis	22	9
Genesis	27	37
Genesis	27	37
Genesis	43	32
Genesis	43	32
Genesis	43	32
Genesis	45	7
Genesis	45	7
Genesis	45	8
Genesis	45	8
Genesis	45	8
Genesis	45	8
Genesis	45	8
Genesis	45	9
Genesis	45	9
Genesis	45	9
Genesis	47	26
Genesis	47	26
Exodus	2	14
Exodus	2	14
Exodus	4	11
Exodus	4	11
Exodus	8	8
Exodus	8	8
Exodus	14	21
Exodus	14	21
Exodus	15	25
Exodus	15	25
Exodus	21	13
Exodus	21	13
Exodus	26	35
Exodus	26	35
Exodus	28	12
Exodus	28	12
Exodus	40	5
Exodus	40	5
Exodus	40	19
Exodus	40	19
Exodus	40	28
Exodus	40	28
Numeri	6	26
Numeri	6	26
Deuteronomium	10	22
Deuteronomium	10	22
Deuteronomium	14	1
Deuteronomium	14	1
Deuteronomium	22	14
Deuteronomium	22	14
Deuteronomium	32	46
Deuteronomium	32	46
Josua	6	18
Josua	6	18
Josua	7	19
Josua	7	19
Josua	8	2
Josua	8	2
Josua	8	12
Josua	8	12
Josua	24	25
Josua	24	25
Judices	1	28
Judices	1	28
Judices	8	33
Judices	8	33
Judices	8	33
Judices	9	25
Judices	9	25
Judices	11	11
Judices	11	11
Judices	11	11
Judices	18	31
Judices	18	31
Judices	19	30
Judices	19	30
Samuel_I	2	20
Samuel_I	2	20
Samuel_I	8	1
Samuel_I	8	1
Samuel_I	8	5
Samuel_I	8	5
Samuel_I	8	11
Samuel_I	8	11
Samuel_I	8	12
Samuel_I	8	12
Samuel_I	9	20
Samuel_I	9	20
Samuel_I	15	2
Samuel_I	15	2
Samuel_I	18	13
Samuel_I	18	13
Samuel_I	30	25
Samuel_I	30	25
Samuel_I	30	25
Samuel_I	30	25
Samuel_II	7	10
Samuel_II	7	10
Samuel_II	7	10
Samuel_II	7	23
Samuel_II	7	23
Samuel_II	12	20
Samuel_II	12	20
Samuel_II	23	5
Samuel_II	23	5
Reges_I	2	19
Reges_I	2	19
Reges_I	8	21
Reges_I	8	21
Reges_I	10	9
Reges_I	10	9
Reges_I	20	34
Reges_I	20	34
Reges_II	4	10
Reges_II	4	10
Reges_II	10	24
Reges_II	10	24
Reges_II	10	27
Reges_II	10	27
Reges_II	11	16
Reges_II	11	16
Reges_II	21	7
Reges_II	21	7
Jesaia	5	20
Jesaia	5	20
Jesaia	5	20
